amplitude,peak_time,width,decay_rate,rise_time,decay_time,total_duration,peak_flux,integrated_flux,asymmetry,sharpness,log_a,log_c,log_d,r_squared,rmse,mae,residual_mean,residual_std,residual_skewness,residual_kurtosis,mean_relative_error,max_relative_error,duration,sampling_rate,peak_position_fraction,time_to_peak,max_flux,min_flux,mean_flux,std_flux,flux_range,flux_skewness,flux_kurtosis,rise_slope,decay_slope,energy_density,flux_efficiency,rise_fraction,decay_fraction,shape_complexity,power_indicator,flare_id,file,fit_success,alpha,is_nanoflare,flare_class
2.339105365259072e-08,3718.1525640760215,78.35912547323505,0.00017502920364482512,3718.1525640760215,5713.332284989608,20858.149419044847,2.339105365259072e-08,3.248735108841976e-06,1.5366051248651218,2.9851090745749005e-10,-7.630950214907409,1.8940895804075932,-3.7568894831784965,0.46452720233175915,1.253568693650264e-06,8.651716354100248e-07,-2.3011045663315636e-07,1.2322676849808687e-06,-0.9063680864978045,0.4922044113443964,0.25473781002977564,1.6827623251603065,960,0.017708333333333333,0.29411764705882354,300,7.5994297692307906e-06,1.7115103006993006e-06,5.0232088629507816e-06,1.6839777657139287e-06,5.88791946853149e-06,-0.4862358395663431,-0.6632751924611466,1.9626398228438302e-08,0.0016192328935511022,3.3840990717103917e-09,0.007200049517403883,0.3125,0.6875,0.013715135329885261,-4.028822234091636,0,2017_xrsa_xrsb.csv,True,2.2163814109850186,0,A
5.577704911243137e-09,2974.6704860223967,111.51221239378378,0.0008102189139921499,2974.6704860223967,1234.2343318952549,6677.373481708161,5.577704911243137e-09,1.1024347716971761e-06,0.4149146393507338,5.001878082686184e-11,-8.25354446583346,2.0473224322702412,-3.091397622734086,0.5555862020076834,2.4482841182958903e-06,2.154359762244249e-06,2.46381649761772e-08,2.4481601427861073e-06,-0.10558518140205361,-1.3548626953395098,0.5275662614458759,3.2724241842536768,780,0.017948717948717947,0.35714285714285715,300,1.3053276088578125e-05,1.0576019580419526e-06,8.211975491175499e-06,3.6723668295028886e-06,1.1995674130536173e-05,-0.42812981362781816,-0.9670691202061623,3.998558043512058e-08,0.00299330341508638,1.4133779124322772e-09,0.005059442113438034,0.38461538461538464,0.6153846153846154,0.09034930362255346,-4.031384766629673,1,2017_xrsa_xrsb.csv,True,2.090090172198063,1,Nano
3.8295968810029364e-08,2494.018534649587,71.45282660832163,4.3440163600685575e-05,2494.018534649587,23020.171129931427,71554.53192444386,3.8295968810029364e-08,4.8500633456822764e-06,9.23015238664447,5.359615655228577e-10,-7.41684693923505,1.8540194137584136,-4.362108547812829,0.5836253797340807,1.3906697588395635e-06,1.2316071403523888e-06,-8.418331981595081e-08,1.3881194281529433e-06,-0.15273639646719359,-1.3746542283521892,1470.5577637838164,13232.884750430654,480,0.01875,0.4444444444444444,240,7.064682800000001e-06,0.0,4.597132955555556e-06,2.151219410328354e-06,7.064682800000001e-06,-0.743489576962307,-0.2173537039074822,2.9436178333333336e-08,0.0036962823306328626,1.0104298636838077e-08,0.00789597291427585,0.5,0.5,0.003103922477596911,-4.000414927802637,2,2017_xrsa_xrsb.csv,True,1.8261443888460704,0,A
1.954922590174845e-07,1109.7583100122624,33.798541688502155,0.0002269210287953174,1109.7583100122624,4406.819435416888,14330.216616262927,1.954922590174845e-07,1.1711228740937267e-05,3.9709722339165854,5.784044199871161e-09,-6.7088704348540515,1.5288979621031116,-3.644125256135378,0.6607689220270576,3.5884951247645554e-06,2.9326997989157165e-06,-1.126116179412217e-06,3.4072216850279952e-06,-0.37028938663857613,-0.8298306704968619,1823.5065711439336,12762.552367866161,360,0.019444444444444445,0.42857142857142855,180,1.7590254e-05,0.0,1.1099921714285713e-05,5.849955667545834e-06,1.7590254e-05,-0.6228061886058129,-0.6533241637623863,9.772363333333334e-08,0.005444000609724412,3.253119094704796e-08,0.016692719725824343,0.5,0.5,0.007669599851736333,-4.38804328421336,3,2017_xrsa_xrsb.csv,True,1.7096312428013238,0,B
1.152572379759778e-07,1758.8462211961976,36.51786570442141,0.00012295499075512008,1758.8462211961976,8133.057420919355,26158.01848395426,1.152572379759778e-07,7.4601666897188065e-06,4.624086701217139,3.1561876838279462e-09,-6.938331792061312,1.5625053871569266,-3.9102538385119257,0.4057933569207133,3.5155363714093447e-06,2.629861997905756e-06,-2.452378647805157e-07,3.506972250871095e-06,-0.8502434815040988,-0.2570139463570058,360.5541934630129,2877.3471287960715,420,0.01904761904761905,0.375,180,1.3072922e-05,0.0,7.284874375e-06,4.549499044091886e-06,1.3072922e-05,-0.3329002514573391,-1.2742188234825944,7.262734444444444e-08,0.009020143818751145,1.7762301642187635e-08,0.015449686685261204,0.42857142857142855,0.5714285714285714,0.004490053840083851,-4.440517036991487,4,2017_xrsa_xrsb.csv,True,1.852585790891828,0,B
8.942303460793234e-08,261.11413398044533,33.96810552786201,0.0025113290204392008,261.11413398044533,398.19553386322605,1455.7007355701235,8.942303460793234e-08,5.383883653227333e-06,1.5249865175549886,2.632558784727749e-09,-7.048550596253745,1.5310713260358004,-2.600096384698338,0.6772670752072917,2.422514726481015e-06,2.174460640837064e-06,-1.1340110167655621e-06,2.1407000289325276e-06,0.14203985685976686,-1.5274120726960607,6474.245208999465,38842.469690946105,300,0.02,0.16666666666666666,60,1.0229681999999999e-05,0.0,5.127534333333333e-06,3.768202019815404e-06,1.0229681999999999e-05,0.09240879672541244,-1.4687312117555804,1.704947e-07,0.0076801402897951655,1.794627884409111e-08,0.016609392098272464,0.2,0.8,0.0853050891814611,-4.603672262939977,5,2017_xrsa_xrsb.csv,True,2.195286642816289,0,A
1.2205781666691006e-07,323.9367689809246,44.77749862184487,0.00028311738861127277,323.9367689809246,3532.103785306613,10920.248124900763,1.2205781666691006e-07,9.687246764146137e-06,10.903682828035508,2.7258739416802458e-09,-6.91343440283751,1.6510598291922747,-3.5480334561523468,0.7294950859164409,2.611413725533387e-06,2.2805472634633334e-06,-8.954726711834195e-07,2.4530818048054973e-06,-0.25886592270911485,-1.522182563091674,10871.94714355889,43487.30403765907,180,0.022222222222222223,0.5,120,1.2154738400000001e-05,0.0,7.76474155e-06,4.7165500969964226e-06,1.2154738400000001e-05,-0.8460272232315965,-0.9321942725342689,1.0128948666666668e-07,0.0067904131769524,5.381803757858965e-08,0.012599845925125312,0.6666666666666666,0.33333333333333337,0.012677288478361585,-4.187270673419311,6,2017_xrsa_xrsb.csv,True,1.7819409255156473,0,B
1.9646255654406182e-07,2488.2509259488634,40.58720771224057,0.0012264943702510593,2488.2509259488634,815.3319120374791,4934.246662061301,1.9646255654406182e-07,1.4133310544285669e-05,0.32767270516600433,4.840504376082302e-09,-6.706720208829639,1.6083891740844891,-2.911334440914188,0.5579860343195173,6.432816653863721e-05,5.127466482100022e-05,-2.775240295933152e-06,6.426827406677786e-05,-0.8917969535461733,0.030216276352300397,-0.3563456964325393,1.1902317825828934,660,0.01818181818181818,0.4166666666666667,300,0.0002836082462937071,-1.9234711258741844e-05,0.00016633754933760675,9.666708917017289e-05,0.0003028429575524489,-0.5536645421801,-0.9708752242987946,1.0094765251748296e-06,,2.1414106885281315e-08,0.01390067499956653,0.45454545454545453,0.5454545454545454,0.04977998176327343,-4.169836701771615,7,2017_xrsa_xrsb.csv,True,1.773650569569921,0,B
4.631139741361173e-08,73.27797827683617,49.74104969131895,0.004402906072809602,73.27797827683617,227.12271928205718,754.6461361230076,4.631139741361173e-08,4.082984846227478e-06,3.0994675975367723,9.310498612516056e-10,-7.334312114280039,1.6967149459990014,-2.3562605792453564,0.4951384786630074,1.63028107029562e-06,1.389962730438569e-06,-5.091956780844849e-07,1.5487208042718073e-06,0.283732149633612,-0.8832498259191475,5357.511055004407,26785.264532566136,240,0.020833333333333332,0.2,60,6.0921668000000006e-06,0.0,2.4150802400000003e-06,2.1796511779204215e-06,6.0921668000000006e-06,0.6313773777927515,-1.0073218612774473,1.0153611333333334e-07,0.011167945135885442,1.701243685928116e-08,0.011342534728337697,0.25,0.75,0.21900516975383238,-4.322654274705939,8,2017_xrsa_xrsb.csv,True,2.1763815238609894,0,A
3.441762428880836e-07,166.91609616569485,46.17686854018757,0.00035451184164635337,166.91609616569485,2820.780246312786,8629.256835104052,3.441762428880836e-07,2.81695755929415e-05,16.8993902392292,7.453434019427892e-09,-6.463219110588046,1.664424478130122,-3.4503692536381054,0.3537613128318218,1.2029221525346431e-05,1.0991879750003068e-05,-1.8797669289784246e-06,1.1881441276148989e-05,0.03473157403674638,-1.53958675296507,15138.510425742075,136240.81140691284,480,0.01875,0.3333333333333333,180,4.235149200000001e-05,0.0,2.3667884555555555e-05,1.4779939253258701e-05,4.235149200000001e-05,-0.17208012978740003,-1.3894845394686086,2.352860666666667e-07,0.00615560916196156,5.868661581862812e-08,0.0122180130741595,0.375,0.625,0.016370246707643452,-3.883155526437026,9,2017_xrsa_xrsb.csv,True,1.988225332969101,0,B
