time_minutes,time_seconds,datetime,xrs_a_flux,xrs_b_flux
0,0,2025-06-07T13:07:35.930148,-0.005368584994322859,0.0
1,60,2025-06-07T13:08:35.930148,-0.027419917016051735,0.0
2,120,2025-06-07T13:09:35.930148,0.06500632186365998,0.0
3,180,2025-06-07T13:10:35.930148,0.047338390100561095,0.0
4,240,2025-06-07T13:11:35.930148,0.04148841864842338,0.0
5,300,2025-06-07T13:12:35.930148,0.016739829423723217,0.0
6,360,2025-06-07T13:13:35.930148,0.07000798414811596,0.0
7,420,2025-06-07T13:14:35.930148,0.09627628118762446,0.0
8,480,2025-06-07T13:15:35.930148,-0.038072010346098334,0.0
9,540,2025-06-07T13:16:35.930148,0.026089902715245864,0.0
10,600,2025-06-07T13:17:35.930148,-0.013021133682913088,0.0
11,660,2025-06-07T13:18:35.930148,0.0014090518010593696,0.0
12,720,2025-06-07T13:19:35.930148,0.03631138300020355,0.0
13,780,2025-06-07T13:20:35.930148,0.13860022110216685,0.0
14,840,2025-06-07T13:21:35.930148,0.05216389464981106,0.0
15,900,2025-06-07T13:22:35.930148,0.07346987588024204,0.0
16,960,2025-06-07T13:23:35.930148,0.1241035891771729,0.0
17,1020,2025-06-07T13:24:35.930148,0.0358655156724432,0.0
18,1080,2025-06-07T13:25:35.930148,-0.046537541724473414,0.0
19,1140,2025-06-07T13:26:35.930148,0.030935960383223937,0.0
20,1200,2025-06-07T13:27:35.930148,0.036646477909413666,0.0
21,1260,2025-06-07T13:28:35.930148,0.05562237954087259,0.0
22,1320,2025-06-07T13:29:35.930148,-0.06848042369595489,0.0
23,1380,2025-06-07T13:30:35.930148,0.022145374122343693,0.0
24,1440,2025-06-07T13:31:35.930148,0.10094136853579938,0.0
25,1500,2025-06-07T13:32:35.931145,0.006368051244275183,0.0
26,1560,2025-06-07T13:33:35.931145,0.036301013737530655,0.0
27,1620,2025-06-07T13:34:35.931145,0.008532033733150302,0.0
28,1680,2025-06-07T13:35:35.931145,0.07483500109518879,0.0
29,1740,2025-06-07T13:36:35.931145,-0.013599309396285023,0.0
30,1800,2025-06-07T13:37:35.931145,0.12601272323782045,0.0
31,1860,2025-06-07T13:38:35.931145,-0.026441291513035595,0.0
32,1920,2025-06-07T13:39:35.931145,-0.05290379972340915,0.0
33,1980,2025-06-07T13:40:35.931145,0.004458839146093484,0.0
34,2040,2025-06-07T13:41:35.931145,0.05524716216286714,0.0
35,2100,2025-06-07T13:42:35.931145,0.019143371738357676,0.0
36,2160,2025-06-07T13:43:35.931145,0.10932613430510563,0.0
37,2220,2025-06-07T13:44:35.931145,0.04698350380595133,0.0
38,2280,2025-06-07T13:45:35.931145,0.02008363757653693,0.0
39,2340,2025-06-07T13:46:35.931145,0.12844972929872,0.0
40,2400,2025-06-07T13:47:35.931145,0.03964563787790343,0.0
41,2460,2025-06-07T13:48:35.931145,0.06663671167725951,0.0
42,2520,2025-06-07T13:49:35.931145,0.029633030229340336,0.0
43,2580,2025-06-07T13:50:35.931145,-0.03351169779308519,0.0
44,2640,2025-06-07T13:51:35.931145,0.013166446155788781,0.0
45,2700,2025-06-07T13:52:35.931145,-0.012693220295662944,0.0
46,2760,2025-06-07T13:53:35.931145,0.011612608040066,0.0
47,2820,2025-06-07T13:54:35.931145,0.0445122524850513,0.0
48,2880,2025-06-07T13:55:35.931145,0.03113179375115703,0.0
49,2940,2025-06-07T13:56:35.931145,0.07944021706341374,0.0
50,3000,2025-06-07T13:57:35.931145,-0.05670028764673307,0.0
51,3060,2025-06-07T13:58:35.931145,-0.017243310221061445,0.0
52,3120,2025-06-07T13:59:35.931145,0.04242838068658309,0.0
53,3180,2025-06-07T14:00:35.931145,0.012077857474191468,0.0
54,3240,2025-06-07T14:01:35.931145,0.12937857730748578,0.0
55,3300,2025-06-07T14:02:35.931145,-0.013695524388697155,0.0
56,3360,2025-06-07T14:03:35.931145,0.021777880189260017,0.0
57,3420,2025-06-07T14:04:35.931145,-0.07767972046544719,0.0
58,3480,2025-06-07T14:05:35.931145,8.11512491343605e-05,0.0
59,3540,2025-06-07T14:06:35.931145,0.02933912042374654,0.0
60,3600,2025-06-07T14:07:35.931145,-0.06736094413399588,0.0
61,3660,2025-06-07T14:08:35.931145,-0.024994362016311306,0.0
62,3720,2025-06-07T14:09:35.931145,-0.09797012239941932,0.0
63,3780,2025-06-07T14:10:35.931145,0.03961134849707247,0.0
64,3840,2025-06-07T14:11:35.931145,-0.04422748009798409,0.0
65,3900,2025-06-07T14:12:35.931145,-0.002698550591812683,0.0
66,3960,2025-06-07T14:13:35.931145,0.01000154523705038,0.0
67,4020,2025-06-07T14:14:35.931145,0.04417691587294369,0.0
68,4080,2025-06-07T14:15:35.931145,-0.013514136914461888,0.0
69,4140,2025-06-07T14:16:35.931145,-0.050575014914607475,0.0
70,4200,2025-06-07T14:17:35.931145,-0.020167249298111516,0.0
71,4260,2025-06-07T14:18:35.931145,-0.15585338862794018,0.0
72,4320,2025-06-07T14:19:35.931145,0.09886610509905178,0.0
73,4380,2025-06-07T14:20:35.931145,0.08004904031871396,0.0
74,4440,2025-06-07T14:21:35.931145,0.024866144148609715,0.0
75,4500,2025-06-07T14:22:35.931145,0.04463986094384664,0.0
76,4560,2025-06-07T14:23:35.931145,0.05670688166836746,0.0
77,4620,2025-06-07T14:24:35.931145,0.034709463059460426,0.0
78,4680,2025-06-07T14:25:35.931145,-0.05454231049122879,0.0
79,4740,2025-06-07T14:26:35.931145,0.010237782269858674,0.0
80,4800,2025-06-07T14:27:35.931145,-0.017477343923967027,0.0
81,4860,2025-06-07T14:28:35.931145,0.08231296433711827,0.0
82,4920,2025-06-07T14:29:35.931145,0.07015916960829686,0.0
83,4980,2025-06-07T14:30:35.931145,0.0431478907463847,0.0
84,5040,2025-06-07T14:31:35.931145,0.039447458694007204,0.0
85,5100,2025-06-07T14:32:35.931145,0.03992306392173311,0.0
86,5160,2025-06-07T14:33:35.931145,0.08738690961471407,0.0
87,5220,2025-06-07T14:34:35.931145,0.035423274153592636,0.0
88,5280,2025-06-07T14:35:35.931145,0.04827754583226869,0.0
89,5340,2025-06-07T14:36:35.931145,-0.07929007498184315,0.0
90,5400,2025-06-07T14:37:35.931145,-0.0811268288765114,0.0
91,5460,2025-06-07T14:38:35.931145,0.016315696490737892,0.0
92,5520,2025-06-07T14:39:35.931145,0.04110186197474614,0.0
93,5580,2025-06-07T14:40:35.931145,0.052787591310781555,0.0
94,5640,2025-06-07T14:41:35.931145,0.06104107324534901,0.0
